VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Et0/0, Et0/1, Et1/1, Et1/2, Et1/3, Et2/0, Et2/1, Et2/2
10   VLAN10_USERS                     active    
20   VLAN20_USERS                     active    
30   VLAN30_USERS                     active    
40   VLAN40_USERS                     active    
70   VLAN70_SERVERS                   active    
80   SERVERS_WINDOWS                  active    
90   SERVERS_LINUX                    active    
99   MGMT                             active    Et0/2, Et0/3, Et1/0, Et2/3
1002 fddi-default                     act/unsup 
1003 token-ring-default               act/unsup 
1004 fddinet-default                  act/unsup 
1005 trnet-default                    act/unsup
